No_;Nazwa_PL;Skład_PL;Opis_PL;Nazwa_EN;Skład_EN;Opis_EN;Gender;Gramatura;Net Weight;PVS Item Type Code$5452f323-059e-499a-9753-5d2c07eef904;PVS Quality Type Code$5452f323-059e-499a-9753-5d2c07eef904
GMO/MO6487/03;Teczka A4 z 300D RPET;Papier;Teczka w formacie A4 w dwóch odcieniach 300D RPET. Zawiera wewnętrzne przegródki i pętelkę na długopis. Zawiera 20-kartkowy notatnik z podszewką. Bambus jest produktem naturalnym, dlatego mogą wystąpić nieznaczne różnice w kolorze, wzorze i rozmiarze.;A4 RPET conference folder;Paper;A4 conference folder with RPET cover. 20 lined bamboo paper sheets notepad. Shaped inner pocket. 2 card holders. Pen holder. Bamboo is a natural product, there may be slight variations in colour and size per item, which can affect the final decoration outcome.;;0;0,518;AB;
GVG/V8399B/32;Metalowa przypinka;metal;Metalowa przypinka pod personalizację full colour;Metal badge;metal;Metal badge for full-colour personalization;;0;0,0192;AB;
GVG/VA126/05;Elektrostatyczne karteczki samoprzylepne | Rolly;papier, folia PP;Karteczki samoprzylepne, przylegają do powierzchni za pomocą ładunku elektrostatycznego, dzięki czemu nie zostawiają śladów po kleju na powierzchniach, umożliwiają łatwą reorganizację notatek np. podczas szkoleń lub prezentacji, 100 szt., produkt wykonany z papieru oraz folii PP. Wyprodukowany w Europie.;Electrostatic sticky notes | Rolly;paper, PP foil;Sticky notes which stick to surfaces using electrostatic charge, leaving no glue residue on surfaces, useful for easy rearranging of notes, e.g. during training sessions or presentations, 100 pcs., product made from paper and PP foil. Made in Europe.;;0;0,031;AB;
GRD/R73674/06;Blok z Karteczkami ;Papier;Blok zawierający 200 karteczek z papieru kremowego chamois o gramaturze 70 g/m2 oraz 5 x 25 karteczek memo o gramaturze 75 g/m2 w oprawie z laminowanego kolorowego papieru o gramaturze 128g/m2.;Paper Note Block;Paper;A bloc of 200 chamois paper notes (70g/m2) and 5 x 25 post-its (75g/m2) in colorful laminated paper(128g/m2). Enviromentally safe manufacturing process. Full- color print(UV) and XL options possible.;;0;0;AB;
GMO/MO9231/03;Teczka A5 z powerbankiem;Inne;Teczka konferencyjna A5 z okładką z płótna PU. Powerbank o pojemności 4000 mAh. Wbudowane złącze micro USB do złącza typu C. Notatnik z 20 kartkami w linie. Wiele wewnętrznych przegródek. Zamknięcie magnetyczne. Elastyczny uchwyt na długopis.;A5 folder with power bank;Other;A5 conference folder with linen-PU cover. 4000 mAh power bank. Built-in micro USB to a Type C connector. 20 lined sheets notepad. Multiple internal compartments. Magnetic closure. Elastic pen holder.;;0;0,444;AB;
GMO/MO2731/03;;;;;;;U;0;0,25;AB;
GMO/MO2730/06;;;;;;;U;0;0,11;AB;
GSF/305W/L075;Wizytownik 305W-ID;Skóra Naturalna włoska;Poręczny wizytownik z systemem ID Protect System. Jest to system chroniący dane zawarte na kartach PayPass przed ich niepowołanym odczytem. Wizytownik posiada jedną kieszonkę oraz miejsce na kilka wizytówek. Kieszonki: 1. Miejsca na karty: 0. Okienka ID: 0.;;;;U;0;0;AB;
GSF/188W/K237;Etui na wizytówki 188 W;Skóra włoska;Wygodne i praktyczne etui na wizytówki własne wykonane z naturalnej skóry włoskiej, zapinane na ukryty magnes. W cenę wliczone jest opakowanie;;;;;0;0;AB;
GJA/529044/01;Etui na wizytówki 529;Ekoskóra Prestige;Etui na wizytówki wykonane z metalu chromowanego, oprawione w ekoskórę. Zamykane na magnes. PRODUKT OTRZYMAŁ I MIEJSCE W KONKURSACH ''GIFTS OF THE YEAR'' 2012 i 2009 PRZYZNANE PRZEZ GOŚCI TARGOWYCH REMA DAYS, A TAKŻE SPECJALNE WYRÓŻNIENIA W KONKURSACH ''GIFTS OF THE YEAR'' 2011 i 2010 W KATEGORII ''PRODUKTY IMPULSOWE'' PRZYZNANE PRZEZ PROFESJONALISTÓW Z BRANŻY REKLAMOWEJ. ;Business card holder 529044;PU leather;Business card holder made of chromium-plated metal, bound in ecoleather and closed with a magnet. THE PRODUCT RECEIVED THE 1ST PRIZE IN THE ''GIFTS OF THE YEAR'' 2012 AND 2009 CONTESTS, AWARDED BY THE VISITORS OF REMA DAYS FAIR, AS WELL AS SPECIAL PRIZES IN ''GIFTS OF THE YEAR'' 2011 AND 2010 IN THE CATEGORY OF ''IMPULSE PRODUCTS'', AWARDED BY ADVERTISING INDUSTRY PROFESSIONALS.;;0;0,068;AB;
